"","SID","topic","article_number","scale_name","value","text","tone_pos","tone_neg"
"37","s101","climate",35,"msg_share_broad",16,"The United States blocked a positive environmental legislation.",0,0
"38","s104","health",90,"msg_share_broad",53,"This article is about the correlation between having difficulties hearing and getting into accidents.",0,7.14
"39","s108","climate",15,"msg_share_broad",8,"This effects everyone that has to deal with severe weather.",0,10
"40","s111","climate",55,"msg_share_broad",0,"The article is about why we should ditch single use plastic straws for the environment.",0,0
"41","s113","health",88,"msg_share_broad",2,"Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.",5.26,0
"42","s115","climate",53,"msg_share_broad",2,"We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",4.65,0
"43","s117","health",68,"msg_share_broad",70,"banana contains high vitamins",0,0
"44","s119","climate",9,"msg_share_broad",0,"A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",0,6.67
"45","s121","health",72,"msg_share_broad",63,"It may make me more physically able.",0,0
"46","s123","climate",3,"msg_share_broad",74,"This article is about a major oil company's abuse of the legal system to block research on climate change.",0,5.26
"47","s125","climate",43,"msg_share_broad",0,"Why countries are still burning coal.",0,0
"48","s127","climate",3,"msg_share_broad",74,"if weather is not good , so they judgement are waited",0,20
"49","s132","climate",1,"msg_share_broad",0,"America is accused of needing to do more for climate",0,10
"50","s134","health",52,"msg_share_broad",65,"Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",3.7,3.7
"51","s137","climate",89,"msg_share_broad",100,"more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",4,4
"52","s140","health",96,"msg_share_broad",0,"Romantic partner involvement in treating eating disorders",14.29,0
"53","s143","climate",41,"msg_share_broad",36,"E.U leader fails.net carbon emission bloc.2050 failed.",0,0
"54","s146","climate",101,"msg_share_broad",29,"These stories always have me worrying about how humans do not treat precious life the way they should.",5.56,5.56
"55","s149","climate",75,"msg_share_broad",87,"Societies' activity also one of the reason of climate change.",0,0
"56","s151","climate",17,"msg_share_broad",100,"California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",2.44,7.32
"57","s155","climate",65,"msg_share_broad",77,"This article matters to me because I am also passionate about climate change.",7.69,0
"58","s157","climate",19,"msg_share_broad",82,"The article about say some matters.",0,0
"59","s160","climate",49,"msg_share_broad",44,"this article is about questioning whether the cities are recycling or not",0,0
"60","s163","health",20,"msg_share_broad",100,"Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.",5.56,0
"61","s167","health",80,"msg_share_broad",0,"The article is about cholesterol medication increasing the risk of skin infections.",0,0
"62","s170","health",62,"msg_share_broad",80,"this article will motivate some of my athletic frieds",0,0
"63","s177","health",28,"msg_share_broad",27,"People I know care about their health.",14.29,0
"64","s184","health",98,"msg_share_broad",37,"Because health is important as I age.",14.29,0
"65","s186","health",54,"msg_share_broad",11,"It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.",5,5
"66","s189","climate",27,"msg_share_broad",0,"It would be nice if young people would use their energy to vote.",7.69,0
"67","s192","climate",55,"msg_share_broad",63,"This article is about reducing your use of disposable plastic items.",0,0
"68","s194","health",36,"msg_share_broad",1,"It is interesting to see how men and women differe",10,0
"69","s196","climate",35,"msg_share_broad",56,"The article matters to me because it discusses the important issue of Climate Change that affects everyone",5.88,0
"70","s198","health",86,"msg_share_broad",79,"This is about the program called BOKS program which is making children feel happier and more energetic before the class.",5,0
"71","s201","climate",85,"msg_share_broad",28,"We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!",0,8.7
"72","s204","health",18,"msg_share_broad",10,"I know a lot of old people who would probably be interested in cycling.",7.14,0
"73","s206","health",86,"msg_share_broad",77,"It is very must for childerns",0,0
"74","s208","climate",53,"msg_share_broad",76,"flood insurance most important for everyone",16.67,0
"75","s211","climate",61,"msg_share_broad",0,"This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",0,0
"76","s214","health",40,"msg_share_broad",83,"dont worry about consuming this after exercising",0,14.29
"77","s216","climate",15,"msg_share_broad",4,"It is about global warming.",0,0
"78","s218","climate",55,"msg_share_broad",57,"It was usage of plastics and reusability",0,0
"79","s222","health",8,"msg_share_broad",67,"A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence.",5.56,1.39
"80","s224","health",86,"msg_share_broad",0,"A program helps children with before school activities.",12.5,0
"81","s230","health",32,"msg_share_broad",29,"The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar.",3.7,3.7
"82","s235","climate",81,"msg_share_broad",94,"Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well",11.54,0
"83","s237","health",60,"msg_share_broad",100,"VITAMIN D WAS IMPORTANT DURING PREGNANCY",16.67,0
"84","s243","climate",63,"msg_share_broad",30,"Invasive grass species are increasing the risk fo wildfires",0,0
"85","s248","health",12,"msg_share_broad",80,"This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.",2.94,2.94
"86","s250","climate",69,"msg_share_broad",89,"The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled.",0,4.17
"87","s255","climate",59,"msg_share_broad",0,"It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida.",0,0
"88","s258","climate",17,"msg_share_broad",89,"Kincade fire in California",0,0
"89","s260","climate",55,"msg_share_broad",7,"Recycling is an important part of environmental control",12.5,0
"90","s262","health",52,"msg_share_broad",85,"This is why i stay away from most processed meats lately.",0,0
"91","s268","climate",41,"msg_share_broad",100,"It tells me about how other eastern countries would not agree because of their heavy use of coal",0,0
"92","s273","health",6,"msg_share_broad",11,"exercise without dieting might not help you lose weight",11.11,11.11
"93","s275","health",54,"msg_share_broad",29,"Being overweight could cause cancer.",0,20
"94","s277","health",98,"msg_share_broad",100,"cycling helps to keep our bones healthy",28.57,0
"95","s279","health",32,"msg_share_broad",81,"It have no health benefits so this article matters to people to know",7.69,0
"96","s281","health",2,"msg_share_broad",18,"This book will help parents learn how to make sure their kids eat healthy.",7.14,0
"97","s287","health",36,"msg_share_broad",3,"It's about how different people walk and the pace that they walk in.",0,0
"98","s292","health",70,"msg_share_broad",4,"A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California.",0,0
"99","s295","health",104,"msg_share_broad",6,"It's about using AI to prevent breast cancer.",0,0
"100","s299","climate",25,"msg_share_broad",0,"This article is about floods  and climate changes.",0,0
"101","s301","climate",63,"msg_share_broad",2,"It is important to protect people and property from the threat of wildfires.",7.69,7.69
"102","s305","health",90,"msg_share_broad",0,"Hearing loss leads to more accidents.",0,16.67
"103","s308","health",56,"msg_share_broad",84,"I need to exercise more to reduce my weight.",0,0
"104","s313","health",86,"msg_share_broad",1,"Possible benefits of a before-school exercise program.",14.29,0
"105","s316","health",70,"msg_share_broad",0,"It is about a change in economic status and the use of McDonalds to make their money go further.",0,0
"106","s319","health",72,"msg_share_broad",99,"Physical exercise is very important to human health",12.5,0
"107","s321","health",88,"msg_share_broad",75,"this has lot of claims",0,0
"108","s324","health",72,"msg_share_broad",0,"Talks about a gut bacteria that could make people run faster.",0,0
"109","s327","health",40,"msg_share_broad",81,"traditional healthy tip usually misleading person's concept",0,0
"110","s329","climate",7,"msg_share_broad",0,"This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct.",6.12,0
"111","s331","health",70,"msg_share_broad",48,"The food was yummy and tasty!",33.33,0
"112","s337","health",22,"msg_share_broad",0,"The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease.",8.33,0
"113","s344","health",60,"msg_share_broad",67,"I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing",18.18,0
"114","s348","health",98,"msg_share_broad",69,"There is a lot of pressure on the bone",0,0
"115","s352","health",56,"msg_share_broad",93,"This article help will help people to be fit and it will help to improve someone's health",23.53,0
"116","s358","climate",3,"msg_share_broad",31,"It was indirectly influenced in my life",0,0
"117","s361","health",20,"msg_share_broad",0,"This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use.",4.76,0
"118","s364","climate",101,"msg_share_broad",72,"The Vaquita mammal is rare and almost extinct in nature!",0,0
"119","s371","climate",15,"msg_share_broad",0,"Global warming is causing more and more severe types of storms.",0,9.09
"120","s373","health",4,"msg_share_broad",61,"Keeping healthy is the only way forward.",14.29,0
"121","s380","climate",21,"msg_share_broad",0,"Policy makers were able to gain authorization to use a coal mine.",0,0
"122","s387","health",94,"msg_share_broad",8,"less sugary drink consumption leads to better health",12.5,0
"123","s394","climate",19,"msg_share_broad",65,"best of wilderness for environmental protection",0,0
"124","s396","health",92,"msg_share_broad",100,"Parents make kids fat.",0,0
"125","s400","health",86,"msg_share_broad",68,"It can help my child for development.",14.29,0
"126","s402","climate",35,"msg_share_broad",88,"It's about how our government is reacting to reduce the climate change",0,0
"127","s406","health",56,"msg_share_broad",57,"People I know care about being healthy and happy and exercise is a big part of that.",11.76,0
"128","s412","health",100,"msg_share_broad",53,"flu and cold challenge for immunity .have high power immunity not affect the cold and flu",6.25,0
"129","s415","health",64,"msg_share_broad",68,"Good inputs from wise people on health",28.57,0
"130","s419","health",90,"msg_share_broad",11,"poor hearing being associated with more injuries",0,28.57
"131","s421","climate",15,"msg_share_broad",50,"I have experienced a major Earth quake before and I can understand the fear of natural disasters.",0,5.88
"132","s423","health",6,"msg_share_broad",18,"Exercise is not enough to lose weight.",0,14.29
"133","s432","health",78,"msg_share_broad",19,"This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight.",3.57,7.14
"134","s435","health",70,"msg_share_broad",100,"It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded.",4.35,0
"135","s437","health",104,"msg_share_broad",53,"because its just like a magazine to useful to me",10,0
"136","s442","health",42,"msg_share_broad",82,"I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw.",6.9,0
"137","s445","health",14,"msg_share_broad",67,"dance well is good for health",33.33,0
"138","s448","health",38,"msg_share_broad",16,"It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation.",2.86,0
"139","s450","health",26,"msg_share_broad",0,"I worry about my own higher-protein diet.",0,14.29
"140","s454","climate",5,"msg_share_broad",27,"Skier wants to save snow and scientists win money.",11.11,0
"141","s457","health",30,"msg_share_broad",1,"I am currently pregnant and this information could help my future child.",8.33,0
"142","s462","health",108,"msg_share_broad",0,"Some scientific findings on obesity.",0,0
"143","s466","health",12,"msg_share_broad",39,"It matters to people I know because they are keeping people healthy and saving money.",6.67,0
"144","s470","health",42,"msg_share_broad",14,"About whether cooking tomato and spinach cause the nutrients to change.",9.09,0
"145","s473","climate",65,"msg_share_broad",64,"it's about a Swedish girl solitry act",0,0
"146","s478","health",86,"msg_share_broad",100,"This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program.",8.7,0
"147","s481","health",10,"msg_share_broad",18,"Because I have considered taking these supplements but they might kill me.",0,8.33
"148","s483","health",98,"msg_share_broad",0,"After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!",0,0
"149","s487","climate",51,"msg_share_broad",37,"Article is about environmental and nuclear power",0,0
"150","s490","health",40,"msg_share_broad",16,"The effect of antioxidants on after exercise soreness.",0,12.5
"151","s493","health",18,"msg_share_broad",78,"Exercise can keep you healthy and young",14.29,0
"152","s495","health",8,"msg_share_broad",100,"This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able",3.13,0
"153","s497","climate",73,"msg_share_broad",52,"This article is about a proposed incentive to buy electric or hybrid cars.",0,0
"154","s499","health",28,"msg_share_broad",84,"so much of oil content in that deli meats so I think it is bad for health",0,5.88
"155","s504","climate",59,"msg_share_broad",93,"This article matters to me personally because I believe climate change is a very serious issues that the world needs to take more seriously. It's going to impact our world in ways that the future, our children, will have to deal with.",0,0
"156","s506","health",102,"msg_share_broad",84,"This talks about why people who don't know much about GMOs are against them.",0,0
"157","s512","climate",55,"msg_share_broad",0,"How to move away from using platics",0,0
"158","s514","climate",47,"msg_share_broad",1,"This is impportant as we all have to clean our homes!",9.09,0
"159","s516","climate",91,"msg_share_broad",64,"This article about weather condition prediction",0,0
"160","s520","health",80,"msg_share_broad",0,"Article is about an increase in the risk of staph skin infection in people who took statins.",0,0
"161","s526","health",38,"msg_share_broad",73,"This is so true! I sleep with my dog too.",0,0
"162","s529","health",78,"msg_share_broad",48,"This article says that we eat more when we exercise.",0,0
"163","s531","climate",53,"msg_share_broad",7,"Climate change is at it again!",0,0
"164","s533","climate",69,"msg_share_broad",50,"Some who are recycling might be making things harder for recycling companies if they do not know how to recycle certain items correctly.",0,0
"165","s537","health",36,"msg_share_broad",51,"This article is hinting towards personalities or how you do things are affected by what you are around.",0,0
"166","s540","health",12,"msg_share_broad",54,"This article has to do with how exercise helps not only children, but our nations economy.",6.25,0
"167","s543","health",30,"msg_share_broad",7,"The benefits for kids and pregnant women to eat more fish.",9.09,0
"168","s545","health",94,"msg_share_broad",64,"If it isn't offered, less people will drink it and there will be a healthier society.",6.25,0
"169","s547","climate",39,"msg_share_broad",42,"This article is about algae blooms killing wildlife.",0,12.5
"170","s551","health",82,"msg_share_broad",70,"we need to prevent illness with a good shape and healthy eat",8.33,8.33
"171","s553","health",6,"msg_share_broad",13,"It’s not all about activity!  There’s other things at play that could help us!",14.29,0
"172","s555","climate",37,"msg_share_broad",89,"we should know about  ancient egyptian leaders",0,0
"173","s559","climate",93,"msg_share_broad",57,"it is about solar power",0,0
"174","s563","climate",53,"msg_share_broad",65,"If people are not buying flood insurance that means it will cost all of us more in taxes to help pay when disaster strikes flood regions.",3.85,0
"175","s568","health",80,"msg_share_broad",84,"Its about the concern and remedy for skin infections and its risk.",0,0
"176","s571","health",24,"msg_share_broad",4,"Creating your own company to try and cure your own disease is quite an impressive way to go about such a situation. I hope he has success and his efforts may go on to help others dealing with this awful form of cancer.",9.3,2.33
"177","s574","climate",17,"msg_share_broad",1,"The article is about learning to battle fires that could break out anywhere in the USA.",0,6.25
"178","s576","health",102,"msg_share_broad",11,"It seems that education about GMOs leads to less opposition. Those uneducated about them are generally more opposed.",0,11.11
"179","s578","health",12,"msg_share_broad",10,"This article discusses the benefits of exercise for children and why it can help save the United States billions of dollars per year.",8.7,0
"180","s582","health",38,"msg_share_broad",62,"Everyone in my family sleeps with a dog in their bed, so this is good to know!",5.88,0
"181","s584","health",90,"msg_share_broad",28,"You might make mistakes accidentally more if you are losing your hearing.",0,16.67
"182","s588","health",74,"msg_share_broad",32,"This article is about helping obese people with probiotics.",11.11,0
"183","s592","health",86,"msg_share_broad",7,"Imagine a good idea coming from public school systems.",11.11,0
"184","s594","climate",29,"msg_share_broad",62,"The article is about fuel efficiency rule for automobiles mainly for the oil industries.",0,0
"185","s598","health",86,"msg_share_broad",48,"This article is about how a before-school exercise program may help children feel happier and mor3e energetic.",11.76,0
"186","s600","health",94,"msg_share_broad",65,"I am trying to lose weight",0,16.67
"187","s606","health",36,"msg_share_broad",75,"The above article is about the walking of persons.",0,0
"188","s610","health",24,"msg_share_broad",59,"It helps to recover from the disease multiple myeloma and it does matter for people who are suffering from cancer.",10,5
"189","s615","climate",31,"msg_share_broad",100,"about consuming less power",0,0
"190","s618","climate",71,"msg_share_broad",9,"Oceanographer is interviewed and auto makers are asked about climate change.",0,0
"191","s620","climate",89,"msg_share_broad",61,"Too much interference by lobbyists in our government.",0,25
"192","s622","health",44,"msg_share_broad",82,"cause it is quite informative",0,0
"193","s624","health",10,"msg_share_broad",88,"I would be very sad if soemone close to me died because of this.",0,7.14
"194","s627","climate",11,"msg_share_broad",0,"Because climate change is important",20,0
"195","s629","health",24,"msg_share_broad",100,"My mother was a cancer patient.",0,0
"196","s631","health",98,"msg_share_broad",8,"New study suggesting that biking is bad for your bones.",10,10
"197","s635","health",28,"msg_share_broad",60,"It is about deli meats causing cancer.",0,0
"198","s638","health",62,"msg_share_broad",50,"About Sports Event Which may shows some other results which is not expected.",0,0
"199","s640","climate",93,"msg_share_broad",87,"I think this article is about the status of the solar power system...",0,0
"200","s001","health",8,"msg_share_narrow",75,"It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.",0,4.35
"201","s003","health",72,"msg_share_narrow",10,"Maybe it could do more than just make people run faster. Maybe do other things faster.",0,0
"202","s005","health",88,"msg_share_narrow",100,"CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.",5,5
"203","s009","health",68,"msg_share_narrow",72,"Healthy and nutritional value of banana over carbonated drinks",0,0
"204","s012","climate",109,"msg_share_narrow",1,"Kids skipped school to protest demand on climate issues.",0,0
"205","s015","climate",47,"msg_share_narrow",50,"This is a good way to be more environmentally friendly at the same time save some money.",11.76,0
"206","s018","climate",99,"msg_share_narrow",55,"Climate change may be disastrous in the future. Some regions may face several crises at one time.",0,5.88
"207","s020","health",82,"msg_share_narrow",16,"It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",0,0
"208","s024","climate",27,"msg_share_narrow",11,"A lot of people I know care about the environment and sustainability.",8.33,0
"209","s028","climate",109,"msg_share_narrow",90,"This is about climate",0,0
"210","s031","climate",49,"msg_share_narrow",94,"Recycle is important.",33.33,0
"211","s036","climate",93,"msg_share_narrow",5,"Both solar power and fossil fuels are big right now.",0,0
"212","s038","climate",65,"msg_share_narrow",0,"It is about a teenage girl who became popular for being outspoken over climate change.",0,0
"213","s041","climate",51,"msg_share_narrow",96,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",2.17,0
"214","s043","climate",17,"msg_share_narrow",3,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",4.55,0
"215","s046","climate",51,"msg_share_narrow",93,"it describes that nuclear power which affect you personal and cause environment more bad",0,7.14
"216","s049","health",94,"msg_share_narrow",42,"Drinking less sugar drinks improves health.",16.67,0
"217","s052","health",8,"msg_share_narrow",95,"Since I am overweight this means a lot to me.",0,10
"218","s054","climate",89,"msg_share_narrow",5,"I am belief that the highest calling of leadership is to respect the potential in others.",6.25,0
"219","s056","climate",105,"msg_share_narrow",44,"Lawsuits about climate change has moved inland.",0,0
"220","s058","health",24,"msg_share_narrow",30,"A Dr. with cancer started a company to research the cancer he has.",0,0
"221","s063","climate",23,"msg_share_narrow",0,"It doesn't, except that it pisses me off to see people act so stupidly.",0,21.43
"222","s065","climate",73,"msg_share_narrow",79,"This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",3.85,0
"223","s067","health",82,"msg_share_narrow",38,"I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",0,4
"224","s069","health",100,"msg_share_narrow",75,"With the pandemic raging it is so important to me to stay healthy for myself and my kids.",5.56,11.11
"225","s072","climate",25,"msg_share_narrow",61,"Is climate change causing more floods and what makes a flood ""catastrophic""?",0,0
"226","s074","climate",107,"msg_share_narrow",70,"We can all make a difference in reducing our city's air pollution",0,0
"227","s076","climate",19,"msg_share_narrow",0,"This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it",3.85,0
"228","s079","climate",107,"msg_share_narrow",72,"no one likes air pollution",20,0
"229","s081","climate",73,"msg_share_narrow",1,"It would help the environment",20,0
"230","s083","health",88,"msg_share_narrow",49,"Scientists don't know much about CBD and its effects.",0,0
"231","s085","health",28,"msg_share_narrow",3,"This article is about the affects of eating deli meat on peoples' health.",0,0
"232","s089","health",10,"msg_share_narrow",21,"Diet supplements can be very dangerous for your health.",0,11.11
"233","s092","climate",85,"msg_share_narrow",51,"Global warming is really coming.",0,0
"234","s095","health",48,"msg_share_narrow",8,"Overview of a study where simple and short weight training can help you build strength",13.33,0
"235","s099","health",50,"msg_share_narrow",0,"so now neither red nor white meat is good for you.",9.09,0
"236","s101","climate",35,"msg_share_narrow",12,"The United States blocked a positive environmental legislation.",0,0
"237","s104","health",90,"msg_share_narrow",50,"This article is about the correlation between having difficulties hearing and getting into accidents.",0,7.14
"238","s108","climate",15,"msg_share_narrow",6,"This effects everyone that has to deal with severe weather.",0,10
"239","s111","climate",55,"msg_share_narrow",0,"The article is about why we should ditch single use plastic straws for the environment.",0,0
"240","s113","health",88,"msg_share_narrow",1,"Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.",5.26,0
"241","s115","climate",53,"msg_share_narrow",3,"We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",4.65,0
"242","s117","health",68,"msg_share_narrow",83,"banana contains high vitamins",0,0
"243","s119","climate",9,"msg_share_narrow",0,"A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",0,6.67
"244","s121","health",72,"msg_share_narrow",70,"It may make me more physically able.",0,0
"245","s123","climate",3,"msg_share_narrow",73,"This article is about a major oil company's abuse of the legal system to block research on climate change.",0,5.26
"246","s125","climate",43,"msg_share_narrow",0,"Why countries are still burning coal.",0,0
"247","s127","climate",3,"msg_share_narrow",62,"if weather is not good , so they judgement are waited",0,20
"248","s132","climate",1,"msg_share_narrow",0,"America is accused of needing to do more for climate",0,10
"249","s134","health",52,"msg_share_narrow",33,"Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",3.7,3.7
"250","s137","climate",89,"msg_share_narrow",76,"more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",4,4
"251","s140","health",96,"msg_share_narrow",0,"Romantic partner involvement in treating eating disorders",14.29,0
"252","s143","climate",41,"msg_share_narrow",35,"E.U leader fails.net carbon emission bloc.2050 failed.",0,0
"253","s146","climate",101,"msg_share_narrow",54,"These stories always have me worrying about how humans do not treat precious life the way they should.",5.56,5.56
"254","s149","climate",75,"msg_share_narrow",95,"Societies' activity also one of the reason of climate change.",0,0
"255","s151","climate",17,"msg_share_narrow",100,"California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",2.44,7.32
"256","s155","climate",65,"msg_share_narrow",100,"This article matters to me because I am also passionate about climate change.",7.69,0
"257","s157","climate",19,"msg_share_narrow",75,"The article about say some matters.",0,0
"258","s160","climate",49,"msg_share_narrow",53,"this article is about questioning whether the cities are recycling or not",0,0
"259","s163","health",20,"msg_share_narrow",0,"Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.",5.56,0
"260","s167","health",80,"msg_share_narrow",79,"The article is about cholesterol medication increasing the risk of skin infections.",0,0
"261","s170","health",62,"msg_share_narrow",87,"this article will motivate some of my athletic frieds",0,0
"262","s177","health",28,"msg_share_narrow",50,"People I know care about their health.",14.29,0
"263","s184","health",98,"msg_share_narrow",49,"Because health is important as I age.",14.29,0
"264","s186","health",54,"msg_share_narrow",47,"It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.",5,5
"265","s189","climate",27,"msg_share_narrow",0,"It would be nice if young people would use their energy to vote.",7.69,0
"266","s192","climate",55,"msg_share_narrow",57,"This article is about reducing your use of disposable plastic items.",0,0
"267","s194","health",36,"msg_share_narrow",1,"It is interesting to see how men and women differe",10,0
"268","s196","climate",35,"msg_share_narrow",57,"The article matters to me because it discusses the important issue of Climate Change that affects everyone",5.88,0
