"","SID","value","arousal","tone"
"2552","s249","People I know believe that climate change is happening",NA,NA
"3427","s402","Bad to hear , but we can't stop the nature here",NA,NA
"3032","s406","The article talks about how to stop your habit of using single-use items and how to get into more environmentally friendly habits.",NA,NA
"727","s538","The article cites several lifestyle changes that can decrease the risk of heart attack including diet, exercise, managing stress and quitting smoking.",NA,NA
"945","s214","looks like babies can have food sooner than we thought",NA,NA
"3317","s201","Dreaming about the days when lab grown meat is affordable for the average consumer and factory farming is a thing of the past!",NA,NA
"2970","s281","Exercise alone without changes to diet will not be enough to make people loss weight.",NA,NA
"626","s352","Minimising the impact of climate change which will reduce land been underwater.",NA,NA
"262","s422","This means that I'll have to find some other way to ease my sore muscles.",NA,NA
"2438","s078","It's important because it may be a solution to healthy weight management that a lot of people I know struggle with.",NA,NA
"130","s187","This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.",NA,NA
"1396","s308","It matters to me because I can be affected by climate change in 20 years.",NA,NA
"1027","s361","The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",NA,NA
"374","s608","technology to combat climate change will be beneficial for my life in the long term",NA,NA
"3477","s493","Working out and being healthy is better then smoking",NA,NA
"2818","s056","This is a loss for me since I love studying rare animals.",NA,NA
"1015","s331","Taking supplement is healthier way and increase the nutrition.",NA,NA
"1894","s498","Obesity, high blood pressure, high blood sugar, high cholesterol, and whatever a triglyceride is could lead to people developing Parkinson's at a greater rate.  More dangers of obesity and poor diet, I imagine.",NA,NA
"2746","s589","I think people are generally not very attentive while driving and more people are driving larger vehicles.",NA,NA
"650","s406","People I know care about their future and want to be prepared for issues that will effect them now and later.",NA,NA
"2088","s140","Because everyone I know is having some hearing trouble",NA,NA
"517","s166","The article is about garbage and how it is piling up in the Pacific Ocean between California and Hawaii.",NA,NA
"33","s049","Drinking less sugar drinks improves health.",NA,NA
"3917","s558","People are interested in different methods for weight loss.",NA,NA
"103","s140","Romantic partner involvement in treating eating disorders",NA,NA
"3966","s635","My grandmother has cancer and I think this is very inspirational.",NA,NA
"2157","s251","This article is about US climate report that warns of damaged environment and a shrinking economy. The US would lose 10% of GDP by 2100.",NA,NA
"3050","s442","recycling process must be followed to reduce the pollution. It must be followed by all the peoples who were in the us. It is beneficial process.",NA,NA
"1353","s234","My dad has heart disease and really needs to apply these changes.",NA,NA
"1693","s143","Australia helps for burning coal in future.",NA,NA
"76","s106","This article matters because I have a carbon footprint that impacts the world around me.",NA,NA
"3028","s400","About list of heritage sites that can be affected by climate change.",NA,NA
"1801","s321","This article is about company related risks",NA,NA
"1515","s530","dont fear for hear  monitor",NA,NA
"3619","s066","The mice were too tired to keep moving after a big work out.",NA,NA
"2781","s002","it's really sad that our earth consumes this much plastics because of human",NA,NA
"16","s021","The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.",NA,NA
"1381","s280","It matters because I would like to know which is better",NA,NA
"3804","s358","It was awareness to me",NA,NA
"3320","s205","This is interesting...who even considered that exercising makes us want to eat more?!",NA,NA
"3054","s448","The article talks about what people can do to help improve the earth, in the coming year. It also discusses a government shutdown and presents a Democratic plan to help address climate change.",NA,NA
"1349","s223","This article matters to me personally because I want to learn information that can help me ensure that my nephew is happy and healthy.",NA,NA
"988","s288","How to prepare for the increase in flooding caused by global warming.",NA,NA
"3702","s186","We should carry a reusable bag and should carry our own cloth grocery bags.",NA,NA
"3714","s201","it's all about the money with these people. They don't care about the animals, the environment or future generations. it's all about getting money in THEIR pockets!",NA,NA
"82","s114","There are more and more ad campaigns for raising awareness for climate change.",NA,NA
"1944","s577","People who think they know the most about gmo's know the least about them it has been shown.",NA,NA
"1905","s516","people need to know about solar energy and it is knowledgeable thing to know",NA,NA
"914","s166","This article would matter to people I know because it could give them insight to health and how a bacteria supplement could improve their performance while working out.",NA,NA
"325","s531","Climate change is at it again!",NA,NA
"1646","s080","Taking antioxidants after working out isn't proven to help muscle soreness.",NA,NA
"3432","s414","The article is about how exercise can prevent dementia.",NA,NA
"2999","s330","The fossil fuel industry just can't seem to make enough money, and they couldn't care less what happens to our planet as they do it. Really sad.",NA,NA
"2344","s582","Evidence shows that pregnant women and children eating fish may make children smarter",NA,NA
"149","s211","This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",NA,NA
"3044","s432","This article is about a growing swath of trash that is floating in the ocean between California and Hawaii.  This mass of trash is predicted to be 16 times larger than originally thought.",NA,NA
"1593","s005","Green energy is better for the environment and Earth health. Something to consider.",NA,NA
"100","s136","The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying.",NA,NA
"999","s308","It is about high intensity interval training tool.",NA,NA
"2346","s584","Solar power is a great way to curb fossil fuel emissions, so seeing more use is always good.",NA,NA
"2450","s093","I dont give a flying fuck about this article and I am getting tired of typing for this shit pay",NA,NA
"91","s123","This article is about a major oil company's abuse of the legal system to block research on climate change.",NA,NA
"2829","s070","Curious especially with COVID now.",NA,NA
"3253","s108","Because more healthy people means less is spent on healthcare.",NA,NA
"1078","s463","this would encourage them to use other reuseable bags",NA,NA
"2899","s166","This article matters to people I know because it addresses climate change and those who don't believe that it is happening. It brings awareness of the issue and how we need to address it.",NA,NA
"2336","s571","Everyone in my family absolutely loves getting produce at the farmer's market. We're all big fans as the quality is amazing and the prices are fairly reasonable compared to big grocery retailers.",NA,NA
"720","s529","We really don't have to slow down too much as we get older.",NA,NA
"1782","s288","A victory for coal is a defeat for all breathing mammals who inhabit this planet.",NA,NA
"2108","s170","health benefit of using vitamin d",NA,NA
"1309","s161","THE ARTICLE MATTERS TO ME PERSONALLY BECAUSE THE OLYMPIC SKIER KNOWN FOR ME WANTS TO SAVE THE WORLD'S SNOW BY OURSELVES",NA,NA
"2897","s161","ARTICLE ABOUT HEALTH ISSUSES WHILE TAKEING LARGE AMOUNT SUGARY SUBSTANCES LIKE SWEETS AND SUGAR ADDED DRINKS",NA,NA
"1644","s078","The government will be giving people free money to go out and buy eco-friendly cars.",NA,NA
"3017","s372","All kinds of people can weight train successfully if you do an intense workout for 13 minutes which isn't too long if you count the time in a day.",NA,NA
"2425","s063","A cancer researcher who has been afflicted with cancer is trying to crowdsource a cure for his disease.",NA,NA
"1877","s473","race give a reason  to  have something  new",NA,NA
"2686","s496","climate change is a big threat to our lives",NA,NA
"427","s045","Vouchers for people making american made electric and hybrid vehicles",NA,NA
"2490","s147","This is about some findings coming from climate scientists and negotiators, and how people can reduce their waste for holidays.",NA,NA
"1136","s554","It makes our body fit,where most of the people of today don.t have the sufficient time to do so.",NA,NA
"584","s277","they are making ads about global warming",NA,NA
"3357","s268","That I know that using fruits and vitamins will not help my soreness after a work out",NA,NA
"951","s222","A major scientific report issued by 13 federal agencies on Friday presents the starkest warnings to date of the consequences of climate change for the United States, predicting that if significant steps are not taken to rein in global warming, the damage will knock as much as 10 percent off the size of the American economy by century’s end.",NA,NA
"1537","s561","This industry is pushing for government advantages for itself.",NA,NA
"1165","s600","Hearing loss impacts motor skills",NA,NA
"1742","s217","It looks like A.I. can help with treatment of cancer.",NA,NA
"1925","s547","It matters to people I know because it would give them a reason to stay active.",NA,NA
"3848","s448","The article suggests that drinking sugary drinks is tied to shorter life, and that people should not consume any of these beverages because they offer no benefit.",NA,NA
"311","s506","This talks about why people who don't know much about GMOs are against them.",NA,NA
"2960","s268","how cooking can make some vegetables better and how it can hurt others to not benefit you",NA,NA
"474","s108","This is pertinent information for thoughtful people during the holidays.",NA,NA
"2859","s112","Solar power makes up a small fraction of sources for electricity, especially compared to fossil fuels.",NA,NA
"1578","s627","Government is incompetent.",NA,NA
"2090","s143","American cities recycles foreign garbage.",NA,NA
"760","s588","Climate change is relevant to me because it effects us all.",NA,NA
"1889","s493","Exercise is good for children, and it could save the US 120 billion a year",NA,NA
"1275","s116","The more sugar you eat and drink the more you life draws closer to the end. This infor can helpe people corrrent a bad standard.",NA,NA
"3513","s547","This article is about the different ways people walk and how fast or slow they generally do so.",NA,NA
"3892","s520","This article matters to me in the sense that we can eliminate unhealthy lifestyles by promoting healthy lifestyles through programs such as BOKS program.",NA,NA
"25","s038","It is about a teenage girl who became popular for being outspoken over climate change.",NA,NA
"1907","s520","The article is about how dieting, smoking cessation, exercising and managing stress can help remove plaques in arteries to reduce the chance of heart attacks.",NA,NA
"703","s498","The Trump administration, Senate Republicans and Lobbyists are trying to weaken the endangered species act in hopes of some economic gain.",NA,NA
"3616","s063","Because they're going to help kill us all.",NA,NA
"3310","s193","For climate change the people can give more importance and had a demand for it",NA,NA
"2574","s283","people i know would have to start eating healthy and need to know what could be harmful to them",NA,NA
"623","s345","I really want to know what benefits could possibly come from ""lab-grown meat"".",NA,NA
"2310","s531","We all prefer and use plastic bags.",NA,NA
"3576","s003","Because garbage in the ocean is a huge issue that needs to be solved.",NA,NA
"943","s211","The article indicates that increased consumption of plant proteins may lead to lower rates of cardiovascular death or stroke, thus lengthening life spans",NA,NA
"3934","s584","Parents absolutely have an impact on a child's health considering that the parent serves a majority of what the kid eats to them. More education on this could help kids become healthier which is always great.",NA,NA
"3518","s554","It is a story about a billionaire in a mining project in australia.",NA,NA
"2768","s626","The article is about the plastics and its effect on earth.",NA,NA
"2417","s052","This matters to me personally because I am trying to lose weight.",NA,NA
"2560","s261","Cooking is fun and we are all looking to be healthier",NA,NA
"2806","s041","This article is trying to inform people about the geographical area of people who are at higher risk of getting cancer due to overweight or obesity.",NA,NA
"3441","s432","This is important to me because I want to protect myself from gaining weight and the supplements seem very helpful to the gut.",NA,NA
"754","s578","This article matters to people I know because climate change is a topic that we are all affected by and dealing with. Eliminating food waste is also something my family will want to do during the holidays.",NA,NA
"799","s005","Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.",NA,NA
"1954","s593","It is about Climate change and research how the polar bears affecting by the climate change.",NA,NA
"2910","s189","This article is about flooding and how climate change has affected flooding.",NA,NA
"1248","s079","not really that important",NA,NA
"2822","s063","Because every company is constantly doing shit like this and it's destroying the lives of everyone involved, including their own.",NA,NA
"3286","s150","It's about the important outcomes of a tech conference in San Francisco.",NA,NA
"294","s482","This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense.",NA,NA
"607","s318","Lawsuits have been filed in Colorado against oil and gas giants, something that used to only be done on the coast.",NA,NA
"3590","s024","This talks about how a vegan diet can cause health problems.",NA,NA
"2812","s049","Climate change disasters will increase in frequency.",NA,NA
"2831","s073","This article about how babies who get solid food will sleep for longer.",NA,NA
"546","s211","The article has 6 reasons why people might be approaching recycling wrong and details how common misconceptions about recycling might cause people to be more optimistic about recycling than reality warrants",NA,NA
"2474","s124","This is important to me because there is a way to prolong our life.",NA,NA
"471","s103","Because people like to know what antioxidants work for muscle soreness and which do not.",NA,NA
"2236","s402","This would be better one to follow",NA,NA
"254","s411","i like very much of Olympic and very interest game  and $1 million prize was saved",NA,NA
"268","s436","Have a influence of how the US deals the global warming.",NA,NA
"640","s387","record breaking heat in June
",NA,NA
"3482","s498","Plaque in the arteries tends to be caused by stress, smoking, obesity and a sedentary lifestyle.  It shouldn't be surprising to see that the opposite is true -- quitting smoking, managing your stress, exercising more and eating better can thus reduce that plaque and reduce your risk of a heart attack.",NA,NA
"2089","s141","Saving money involving children",NA,NA
"3265","s121","People eat more than they exercise thus gain weight.",NA,NA
"3650","s108","How government can't keep up with recovery funds of natural disasters.",NA,NA
"2872","s125","The effects of climate change on glaciers",NA,NA
"664","s435","This sounds a like a life changing proposal and it is important to spread it so people can learn about a better future is being planned and how to act in order to achieve it.",NA,NA
"1122","s535","This article matters to me because G.M.O's are a hot topic because more research should be done to determine their safety, and I want to be safe.",NA,NA
"2585","s305","Stories of how climate change has affected people",NA,NA
"348","s567","I know a lot of people that live in Florida that could be affected by rising sea levels.",NA,NA
"2155","s249","romantic partner don't know how to help their partner with a eating disorder",NA,NA
"317","s516","This article about weather condition prediction",NA,NA
"1982","s636","They are going to drill for oil in an Arctic Wildlife Refuge!",NA,NA
"3086","s499","seeds and gout  had been eating more years ago it is good for health",NA,NA
"162","s234","This gives me hope that the biggest polluters might change their ways.",NA,NA
"636","s373","Staying safe and having a good economy is the key to future success.",NA,NA
"2754","s602","It is about the health effects of vitamin D during pregnancy.",NA,NA
"1631","s063","An article on how processed meat gives you cancer.",NA,NA
"1568","s615","about the toxic which is harm for wildlife",NA,NA
"906","s153","My friends are interested in global climate change",NA,NA
"1721","s192","A Silicon Valley company is trying to find out what sections of land may be underwater in the near future, which is a difficult task but with financial potential.",NA,NA
"796","s002","climate changes worsen our environment so badly.",NA,NA
"2678","s485","Climate target has not been strengthened.",NA,NA
"3109","s538","Despite my best efforts, I suffer from obesity and high blood pressure and would be concerned for my future health.",NA,NA
"1162","s595","Using antioxidants to ease soreness of the muscle after a rigorous exercise.",NA,NA
"3806","s361","Regulators in Queensland have issued a permit to allow a disputed mine to be used as a coal resource.",NA,NA
"3057","s453","this is very useful things to avoid plastics",NA,NA
"2821","s062","This article is about how to stop the habit of using single-use plastic products and in place replace them with reusable products.",NA,NA
"1571","s619","I have involved with this.",NA,NA
"78","s110","HEALTH IS WEALTH WE NEED TO BE SAFE...",NA,NA
"526","s186","It may be more effective for weight loss than longer less intense workouts, a study suggests.I willing to read the article.",NA,NA
"3740","s243","ANWR drilling could be on the horizon",NA,NA
"3169","s630","it is about snake oil thatswhy it becomes a matter",NA,NA
"2531","s211","The article details the impact of plastics on the Earth and how humanity is generating waste that is not easily disposed of. It mentions that 8 billion metric tons of plastic has been made since the 1950s",NA,NA
"2230","s394","best of supplement in my life",NA,NA
"3546","s599","WEIGHT LOSS IS AVOID BAKED FOODS. DONT TAKE HIGH RISK IN DIET EAT HEALTHY FOODS AND SLEEP WELL",NA,NA
"1151","s578","Exercise such as walking or dancing is very beneficial for the brain, especially as we age. Socializing is also important.",NA,NA
"3565","s629","Food wastage should be reduced, people are starving around the world.",NA,NA
"1579","s628","It is very important to me.In future I think the usage of coal will increase",NA,NA
"3578","s005","Climate change and global warming may destroy historical heritage sites, such as the ancient place in the Mediterranean.",NA,NA
"3040","s421","The argument is made that dance is actually the best form of exercise for brain health, even better than walking or stretching.",NA,NA
"337","s547","This article is about algae blooms killing wildlife.",NA,NA
"539","s202","Breast cancer is a very dangerous disease",NA,NA
"1566","s610","Climate change affects people in our country which matters a lot and lead to a protest.",NA,NA
"3252","s106","This article matters to me because I have a bag choice to make every week I go to the grocery store.",NA,NA
"2916","s196","The article has some crucial information that can help me improve my life.",NA,NA
"2260","s448","It indicates something about the society we live in, and the effect it has on us. People like me are better prepared to live a meaningful life if we have more awareness of how our society and culture effect our behavior.",NA,NA
"1611","s036","I think it would be nice if more people had healthy relationships.",NA,NA
"201","s301","It is important to protect people and property from the threat of wildfires.",NA,NA
"1425","s363","It matters to people I know, because they want to stay healthy and skinny, but still like to eat.
Article focusing on details of quality diet, pointing out it's important to choose carefully what You eat, and then You won't have to focus on quantity so much.",NA,NA
"62","s084","Moving is good for the brain.",NA,NA
"1293","s139","Climate change is real, and it could effect us more than anyone may have previously thought.",NA,NA
"3945","s602","It is about how to properly recycle materials.",NA,NA
"1406","s324","Heavy people may benefit from a probiotic for obesity.",NA,NA
"3196","s030","Maintaining diet , avoid smoking will help to stabilize the  sixe of atherosclerotic plaque and also reduce the chance of heart attack",NA,NA
"3135","s577","Products like perfume, deodorant ,pesticides and paint contribute as much as cars to pollution.",NA,NA
"3970","s640","This article about the Metabolic benefits after a ban on sugary drinks went into effect...",NA,NA
"573","s259","This article is about to ban the drink to save the peoples health",NA,NA
"3700","s184","People need help sometimes, and it's not shameful. People could use some ideas on how to help.",NA,NA
"1793","s308","It is about usage of single-use plastics.",NA,NA
"540","s204","I know some people in California who need more reasons to get out of California.",NA,NA
"2","s002","not so good i feel about this one",NA,NA
"671","s446","I enjoy both meats. I am not worried about my cholesterol but it might interesting to read about the same levels in the two.",NA,NA
"3931","s581","Climate change is the big threat for current century.",NA,NA
"3751","s261","Reusable cleaning products",NA,NA
"3280","s141","Weight loss suplements",NA,NA
"771","s608","pertains to overall strategies for optimal health",NA,NA
"741","s558","Climate change will impact the US economy.",NA,NA
"2317","s541","Express weight training is great if you don't have much time.",NA,NA
"1036","s386","it matters to a lot people especially people that is battling breast cancer it can help with their situation",NA,NA
"705","s502","Its a victory for climate protection, for the environment. I think this particle matters because we must all try to protect the environment.",NA,NA
"670","s445","smoking causes danger",NA,NA
"1587","s639","Some of the people I know are at risk of staph skin infections because they take statins.",NA,NA
"444","s067","Because we need look out for the environment before it's too late (if it's not already)",NA,NA
"1887","s490","This article suggests ways to improve sleep of babies.",NA,NA
"2725","s555","i used to go walk everyday",NA,NA
"3631","s080","Disposable cleaning products can be more expensive and create more waste than their reusable counterparts.",NA,NA
"1848","s420","Due to climate change, the glacier will collapse and it will increase seawater level it's causing a major disaster in future.",NA,NA
"3270","s126","homes are build fast in the regions where many flood prone areas fastly  which has been show in new data",NA,NA
"3832","s419","climate change will bring more bad things",NA,NA
"1034","s375","I love Science in general and the Headlines seems to imply that the Auto Industry are serious about Climate Change. I also want to read what Sylvia Earle has to saw during the conversation/interview. Plankton is vital to the Earths Oxygen Levels and the Oceans Ecosystem.",NA,NA
"3015","s368","The information on the danger of climate change is very important to me.",NA,NA
"3327","s214","do we want coal to be used for several more decades?",NA,NA
"1225","s051","Age related declines in our activity levels might not be as bad as we think they'll be.",NA,NA
"1769","s268","Tells me how I can stay healthier by using less sodium and more calcium rich foods to avoid kidney stones.",NA,NA
"1945","s578","Global warming is causing weather patterns to become more erratic and dangerous. Despite this, evacuation of people in dangerous areas affected by storms is improving.",NA,NA
"3587","s019","The crisis of climate change not that distant. We all are already experiencing it. It is impacting us negatively so it's good news that the 3 campaign ads are spreading awareness.",NA,NA
"2898","s163","Homes are being built with great frequency in flood zones per a new study.",NA,NA
"181","s268","It tells me about how other eastern countries would not agree because of their heavy use of coal",NA,NA
"751","s575","I have friends who live near wildfires.",NA,NA
"1308","s160","This is important because we humans would like to keep our body healthy and not have any diseases",NA,NA
"1788","s300","people are prepared against future natural disaster",NA,NA
"463","s090","This chef only recommends buying the produce you need for that day to avoid waste.",NA,NA
"2653","s442","coal were used to produce the power of the steam engines and produce the electricity. now a day it were produce air pollution.so we have to avoid the coal . it were avoided  to the country.",NA,NA
"1337","s207","Our future generations shouldn't have to live with the mistakes that we are making now. I want to change this for them.",NA,NA
"2132","s208","its about plastic and paper both have downsides",NA,NA
"3033","s411","global warming is big issue in our country it is create a pollution and effects in our economy lose percent of  coming years is very big issues and very important one",NA,NA
"464","s092","Switch to Green Energy Provider helps.",NA,NA
"984","s280","women eating processed meats have a higher chance of breast cancer
",NA,NA
"225","s344","I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing",NA,NA
"3645","s100","This article is about the oil industry wanting change on car emissions rules.",NA,NA
"1126","s541","It matters because burning coal will harm the environment and my family as well as friends will be affected.",NA,NA
"2219","s363","It matters to people I know, because they care about this planet and want a better world for their kids.
Article is about consequences of climate changes right now.",NA,NA
"489","s124","This article is about the benefits on vitamin D on children in the womb.",NA,NA
"3915","s554","The E.U.Leaders have been failed to reach the target regarding climate,which affects all people in the earth,Every single person in world is responsible for the climate change.",NA,NA
"2742","s583","as a man it`s a well known one, i used to walk different speed with others.",NA,NA
"2004","s028","It is related to my known people as it is about perfumes",NA,NA
"1591","s003","Because people I know live in poverty and can probably relate.",NA,NA
"3638","s089","I don't typically have holiday food waste, but solving the planet's climate problem is necessary for me and my family's offspring to have a bright future.",NA,NA
"3071","s479","new races that are designed to guarantee you wont set a new record are on the up and coming for runners",NA,NA
"1850","s422","The worsening of climate change matters to me because I live on the coast.",NA,NA
"1709","s167","Lawmakers and lobbyist are attempting to weaken protections for endangered species.",NA,NA
"3493","s516","it is about research so people need to know this sugary drink ban and it's effect",NA,NA
"3627","s075","it is real and we should alert this.",NA,NA
"1231","s057","Climate change is very important to me and we need to do whatever it takes to stop global warming. It is not in the US's best interest to interfere into other countries talk on  this important matter.",NA,NA
"1109","s514","Good to know so I don't waste effort on this!",NA,NA
"3803","s353","This article is about climate changes in shift gears.",NA,NA
"153","s216","It is about global warming.",NA,NA
"3009","s353","This article is about trust and unavoidable.",NA,NA
"1934","s561","I am ambivelent towards climate change and its causes. A global stike will prove nothing.",NA,NA
"2288","s495","This article states that our choice to eat or not before working out has major implications on how we would see food for the rest of the day",NA,NA
"49","s069","With the pandemic raging it is so important to me to stay healthy for myself and my kids.",NA,NA
"3211","s052","This article is important to me personally because I want to stay healthy.",NA,NA
"156","s219","It suggests skipping breakfast before exercise.",NA,NA
"2322","s547","This article matters to people who want to help make a difference when it comes to slowing climate change.",NA,NA
"3680","s146","A.I. plays a large part in my daily life and is only becoming more important.",NA,NA
"3298","s168","This article is about using AI to predict, treat, and prevent cancer.",NA,NA
"2810","s046","the beginning of doing exercise will give more benefits and make improve in the cells",NA,NA
"2218","s361","I have a dear friend who lives in Louisiana, which is very flood prone, and information regarding floods always makes me think of him.",NA,NA
"292","s479","basically telling how you can be recycling wrong",NA,NA
"148","s210","What automakers know about climate science.",NA,NA
"2767","s624","There were two big climate meetings. Also, you can lower holiday food waste.",NA,NA
"2237","s403","the vaquita are near extinction",NA,NA
"1863","s448","The article suggests that there is some evidence that eating fish makes children smarter, and it seems to be advising pregnant women and parents to incorporate more fish into their, and their family's, diet.",NA,NA
"3185","s012","Local governments are suing oil and gas companies.",NA,NA
"3099","s522","E.U. Leaders foiled in climate target attempt by developing Eastern countries who oppose.",NA,NA
"2654","s444","This article does not really matters to me",NA,NA
"2693","s506","I would want people to make sure they understand the threat of certain chemicals found in everyday things like deodorant so they can make better informed decisions as consumers.",NA,NA
"1110","s515","Downside to going Gluten-free should be a disciplined by oneself.",NA,NA
"2298","s512","Which bags are better",NA,NA
"169","s248","This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.",NA,NA
"907","s155","Things that may not actually be recyclable.",NA,NA
"732","s545","Climate Change is getting the political attention that it deserves.",NA,NA
"2598","s326","I am really worried about the Wildfire. The global warming is the main theme of this article they warning the people by point out the Kincade fire burned more than 10,000 acres in California",NA,NA
"3434","s418","This article is about S.U.V. being popular and that is bad for the enviroment.",NA,NA
"2505","s170","this is about health benefits of getting proties from plants",NA,NA
"919","s177","Flavonoids in plants can lower your cancer risk",NA,NA
"2163","s261","We all need to find time to workout - this might help!",NA,NA
"1803","s324","Many people don't lose weight when they exercise because they also eat more.",NA,NA
"1939","s571","My parents have a home in Florida that is on the water and whenever I hear news about climate change based flooding I get a little nervous.",NA,NA
"2780","s001","How to get rid of children's picky eating habits and get them to eat healthier",NA,NA
"1237","s066","The climate could damage the GDP",NA,NA
"3930","s578","This article matters to people I know because I personally take products such as whey protein and creatine which are often branded as muscle building supplements.",NA,NA
"3498","s527","Consuming less is beneficial for earth conservatism",NA,NA
"3799","s345","Ancient sites could be destroyed by global warming.",NA,NA
"985","s281","This article suggests that it matters more what you eat and not how much you eat.  It says you can eat larger portions of healthy foods.",NA,NA
"2486","s141","Stretching and dancing",NA,NA
"1851","s423","Intermittent fasting helps people eat less food.",NA,NA
"625","s349","studying rising ocean levels and affects on land",NA,NA
"542","s206","Climate only change the every situation for survival for humans",NA,NA
"2747","s592","Is it based on science or agenda driven interpretations of scientific findings?",NA,NA
"1493","s494","Cycling and swimming is very interesting game...relaxation to critical situation",NA,NA
"1900","s507","we have the technology to do so much better than burn gas.",NA,NA
"917","s170","this is about how wrong we are in recycling simple things wrongly",NA,NA
"3014","s364","A condition called sleep apnea can effect your sleeping habits.",NA,NA
"1129","s545","Some think that climate change isn't real, please read these real stories from the front lines.",NA,NA
