tone_ratings,value,SID
1.0,This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it,s076
1.0,It matters to people I know because it has to do with the future of our well being.,s078
0.0,no one likes air pollution,s079
1.0,Babies who eat solid food sooner are able to sleep longer at night.,s080
1.0,It would help the environment,s081
1.0,This article is about the perfect diet to prevent kidney stones.,s082
1.0,Scientists don't know much about CBD and its effects.,s083
1.0,Moving is good for the brain.,s084
0.0,This article is about the affects of eating deli meat on peoples' health.,s085
0.0,A study found that dietary supplements can be dangerous.,s086
0.0,Diet supplements can be very dangerous for your health.,s089
1.0,This doctor is taking a personal cancer experience and trying to do something about it.,s090
0.0,Global warming is really coming.,s092
0.0,I am not a liberal so I dont care about climate change I worry about living till I die.,s093
1.0,Overview of a study where simple and short weight training can help you build strength,s095
1.0,We should all be thinking about climate change and who we elect might just save our lives.,s097
0.0,so now neither red nor white meat is good for you.,s099
1.0,This article matters to people I know because it has information on how to stay safe when water rises (flooding).,s100
0.0,The United States blocked a positive environmental legislation.,s101
1.0,The article is about whether your recyclables get recycled or not.,s103
0.0,This article is about the correlation between having difficulties hearing and getting into accidents.,s104
1.0,This article matters because I have a carbon footprint that impacts the world around me.,s106
0.0,This effects everyone that has to deal with severe weather.,s108
1.0,HEALTH IS WEALTH WE NEED TO BE SAFE...,s110
1.0,The article is about why we should ditch single use plastic straws for the environment.,s111
1.0,Climate change affects all of us. I want our wildlife to have a safe environment for years to come.,s112
1.0,Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.,s113
1.0,There are more and more ad campaigns for raising awareness for climate change.,s114
0.0,"We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",s115
1.0,Dogs and humans do will sleeping together. Makes sense as my dog is my bestfriend. It matters to others to have that assurance,s116
1.0,banana contains high vitamins,s117
1.0,This is important step in protecting our planet.,s118
0.0,"A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",s119
1.0,Races may get interesting to those of us who aren't athletic,s120
1.0,It may make me more physically able.,s121
1.0,Because we have to live on this planet.,s122
0.0,This article is about a major oil company's abuse of the legal system to block research on climate change.,s123
1.0,This article matters to me because climate change is something we must all pay attention too. The younger generation is really great with this.,s124
0.0,Why countries are still burning coal.,s125
1.0,to avoid waste of food and the precaution of not to waste the food,s126
0.0,"if weather is not good , so they judgement are waited",s127
0.0,This matters to me personally because I don't want kidney stones! They're painful!,s130
0.0,America is accused of needing to do more for climate,s132
0.0,"I don't understand people who don't ""believe"" in climate change.",s133
0.0,"Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",s134
0.0,The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying.,s136
0.0,"more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",s137
1.0,"Solar power led the way in 2017, but it's still just a small percentage of the world's electricity sources.",s139
1.0,Romantic partner involvement in treating eating disorders,s140
1.0,PAssing an enviormental bill,s141
0.0,E.U leader fails.net carbon emission bloc.2050 failed.,s143
0.0,Climate change will increase the number of climate-related disasters.,s145
0.0,These stories always have me worrying about how humans do not treat precious life the way they should.,s146
1.0,It matters to me because we could potentially allocate that saved money to other issues and benefit us.,s147
0.0,Societies' activity also one of the reason of climate change.,s149
1.0,It's about changes in lifestyles to decrease the likelihood of having a heart attack.,s150
0.0,"California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",s151
0.0,Drilling in Arctic Wildlife Refuge closer to approval by senate,s153
1.0,This article matters to me because I am also passionate about climate change.,s155
0.0,"Because when fires spread people have to leave their homes to get out of harm's way. Sometimes, that is just a major inconvenience but sometimes they come back to find their home and all of their belongings are gone. If invasive grasses worsen fires then we need to know this and do something about it.",s156
0.0,The article about say some matters.,s157
1.0,PROTECT PLANTS AND SAVE HEALTH,s159
0.0,this article is about questioning whether the cities are recycling or not,s160
0.0,ARTICLE MATTERS TO ME PERSONALLY BECAUSE OF THE POSSIBLE WEIGHT LOSS STRATEGY THAT TO SKIP BREAKFAST BEFORE EXERCISE,s161
1.0,Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.,s163
1.0,"This article matters to people I know because Climate Change is real and affects people in their daily lives. It will be interesting to read about how automakers plan to change to keep up with demand for ""cleaner and greener"" autos.",s166
0.0,The article is about cholesterol medication increasing the risk of skin infections.,s167
1.0,This is an article about genetically modified organisms.,s168
1.0,this article will motivate some of my athletic frieds,s170
1.0,I really feel like we waste too much and consuming less helps the environment.,s172
1.0,People I know care about their health.,s177
1.0,I've been to some of these places and it would be a shame to lose them.  They are global treasures.,s178
1.0,Because health is important as I age.,s184
1.0,Disposable cleaning products,s185
1.0,It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.,s186
0.0,This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.,s187
1.0,It would be nice if young people would use their energy to vote.,s189
1.0,It's about human's used plastic things,s191
1.0,This article is about reducing your use of disposable plastic items.,s192
1.0,This one is related to know the persons who suffer from cancer and give a treatment.,s193
1.0,It is interesting to see how men and women differe,s194
1.0,Cleanliness is healthy and helpful.,s195
1.0,The article matters to me because it discusses the important issue of Climate Change that affects everyone,s196
0.0,"Exploration in Artic wildlife may harm the wildlife i animals i guess , so people i know will oppose it",s197
1.0,This is about the program called BOKS program which is making children feel happier and more energetic before the class.,s198
1.0,The article is about weight reduction program with in short period of time.,s200
0.0,We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!,s201
1.0,Plastic bags is unhealthy so we go with papers in the grocery shop,s202
1.0,I know a lot of old people who would probably be interested in cycling.,s204
1.0,Everyone has a grandmother and can relate to their grandparents' ways.,s205
1.0,It is very must for childerns,s206
1.0,I am at risk for several of these health issues and I choose to control my sweet tooth because of it.,s207
1.0,flood insurance most important for everyone,s208
1.0,What automakers know about climate science.,s210
0.0,"This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",s211
1.0,Pictures from youth climate,s212
1.0,dont worry about consuming this after exercising,s214
1.0,"As shown elsewhere, this confirms the shifting temperature baseline!",s215
0.0,It is about global warming.,s216
1.0,It appears that obesity might not be that big of a factor in cardiovascular disease after all.,s217
1.0,It was usage of plastics and reusability,s218
1.0,It suggests skipping breakfast before exercise.,s219
1.0,"A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence.",s222
1.0,This article matters to me personally because I want to stay healthy and vibrant as I age.,s223
1.0,A program helps children with before school activities.,s224
1.0,A place to live is the basic need for every human being,s227
0.0,The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar.,s230
1.0,This gives me hope that the biggest polluters might change their ways.,s234
1.0,Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well,s235
0.0,"This is important! people in california are a risk and because of the increasing of areas affected by drought, the rest of us might be at risk too!",s236
1.0,VITAMIN D WAS IMPORTANT DURING PREGNANCY,s237
1.0,This is important because it helps bring awareness to this most pressing issue.,s242
0.0,Invasive grass species are increasing the risk fo wildfires,s243
1.0,This is about sleep apnea.,s246
1.0,This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.,s248
1.0,Solar is something  we need to be using more of,s249
0.0,The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled.,s250
1.0,This might matter for people I know who are overweight or care very much about their current weight.,s251
0.0,"It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida.",s255
0.0,glacier collapse   is dangerous ...,s257
0.0,Kincade fire in California,s258
1.0,This article gives one nice message so I was explain this article matters to the people,s259
1.0,Recycling is an important part of environmental control,s260
1.0,"Climate change affects us all, and thus, this affects all of us.",s261
1.0,This is why i stay away from most processed meats lately.,s262
1.0,This article might sound an alarm to those who drink soda continually.  Compelling reasons to cut the habit.,s265
1.0,It tells me about how other eastern countries would not agree because of their heavy use of coal,s268
1.0,It would made a better world for us in future,s270
0.0,exercise without dieting might not help you lose weight,s273
1.0,It was good and very interesting,s274
0.0,Being overweight could cause cancer.,s275
1.0,It was about the climate changes in now and they give tips for how to reduce food waste.,s276
1.0,cycling helps to keep our bones healthy,s277
1.0,This is good to know! I am trying to manage my cholesterol levels.,s278
0.0,It have no health benefits so this article matters to people to know,s279
0.0,It matters to me because it shows no matter what you eat you can still have health problems.,s280
1.0,This book will help parents learn how to make sure their kids eat healthy.,s281
1.0,because people want to know as much as possible about cancer,s283
1.0,It's about how different people walk and the pace that they walk in.,s287
0.0,This is ridiculous if true. How is fuel in-efficiency good for the American public?,s288
1.0,A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California.,s292
0.0,This Article is about people not having discipline in their eating habit when they do exercise.,s294
1.0,It's about using AI to prevent breast cancer.,s295
1.0,"This would be so hard for me, I love hummus and black beans!",s297
0.0,This article is about floods  and climate changes.,s299
1.0,it will help them reduce the consumption of red meat as this may affect their health,s300
1.0,It is important to protect people and property from the threat of wildfires.,s301
1.0,It's about climate change. So it's important to people,s303
0.0,Hearing loss leads to more accidents.,s305
1.0,because it discourages eating unhealthy food,s307
0.0,I need to exercise more to reduce my weight.,s308
0.0,This article is about a big problem with recycling. A lot of our recycling is ending up in landfills now that China is no longer taking as much of it.,s311
1.0,Possible benefits of a before-school exercise program.,s313
1.0,I believe that climate change is an issue that everyone should work towards solving. Joining a strike demonstrates that many people still care about climate change and demand more than our leaders' inaction on the subject.,s314
1.0,It is about a change in economic status and the use of McDonalds to make their money go further.,s316
1.0,Informative article about contributing factors to getting colds or flu.,s318
1.0,Physical exercise is very important to human health,s319
1.0,It is about the nutrients in tomatoes and spinach,s320
0.0,this has lot of claims,s321
1.0,It is beneficial to add intensity to your workouts.,s322
1.0,Talks about a gut bacteria that could make people run faster.,s324
0.0,This article is about some fitness oriented. Now a days people are very craze in body building I am not against it but the more supplements may cause side effects so this article matters.,s326
0.0,traditional healthy tip usually misleading person's concept,s327
1.0,This article matters to people I know because I know people that live on both the east and west coast,s328
0.0,This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct.,s329
0.0,My best friend died from cancer so this is very personal for me.,s330
1.0,The food was yummy and tasty!,s331
1.0,so they know they importance of family and ways to showcase love,s335
1.0,The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease.,s337
0.0,Obesity is a health risk and the 'obesity paradox' fails to be substantiated.,s338
1.0,I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing,s344
1.0,This is why you should start using a green energy provider.,s345
0.0,There is a lot of pressure on the bone,s348
1.0,being environmentally responsible by reducing plastic usage,s349
1.0,This article help will help people to be fit and it will help to improve someone's health,s352
1.0,This article is about eating food.,s353
1.0,It was indirectly influenced in my life,s358
1.0,We need to appreciate the resolution because of our next generation will get a better and safe life. We have do something for our future life too,s360
1.0,"This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use.",s361
0.0,"It matters to people who cares about environment. 
Mix climate issues with a unimportant drone being captured by a reporter.",s363
0.0,The Vaquita mammal is rare and almost extinct in nature!,s364
1.0,It's about avoiding breakfast before exercise as a weight loss strategy,s368
0.0,Global warming is causing more and more severe types of storms.,s371
1.0,More fluids like water and good juice everyday is good for our bodies and prevents other illness as we get older.,s372
1.0,Keeping healthy is the only way forward.,s373
1.0,"There are some members of my family and social circles that are obese and have Chronic Illnesses due to that. I do not. I never judge them or get after them but try to ""lead and instruct"" by example. This would be a good option or at least a good and novel ""conversation starter"" about obesity.",s375
1.0,Policy makers were able to gain authorization to use a coal mine.,s380
0.0,it is about how perfume can pollute the air as much as cars do,s386
1.0,less sugary drink consumption leads to better health,s387
1.0,the us could save the $120 billion a year for the sedentary children,s390
1.0,best of wilderness for environmental protection,s394
0.0,because to tell the real news or tell the truth and also for to stop the fake news,s395
0.0,Parents make kids fat.,s396
1.0,This will help us be able to afford hybrids and electric cars.,s399
1.0,It can help my child for development.,s400
1.0,"Yes the dog felt like one of the member on the family, dogs has a good relationship with humans and its sleeping on the same bed with human is reasonably well as a dog person it felts very personal to me.",s401
1.0,It's about how our government is reacting to reduce the climate change,s402
0.0,oil and gas companies getting sued by states,s403
1.0,People I know care about being healthy and happy and exercise is a big part of that.,s406
1.0,i like very much of Olympic and very interest game  and $1 million prize was saved,s411
1.0,flu and cold challenge for immunity .have high power immunity not affect the cold and flu,s412
0.0,This article is about a potential algal along the coast in Friday that's toxic and harmful to wildlife.,s414
1.0,Good inputs from wise people on health,s415
0.0,It is about a mammal that is going extinct.,s418
0.0,poor hearing being associated with more injuries,s419
1.0,Every child will consume only mother's milk on during this six months.,s420
0.0,I have experienced a major Earth quake before and I can understand the fear of natural disasters.,s421
1.0,This means that I'll have to find some other way to ease my sore muscles.,s422
0.0,Exercise is not enough to lose weight.,s423
1.0,This article is about how exercise keeps a person's body younger.,s425
0.0,This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight.,s432
1.0,climate change is one of the important cases in the world,s434
1.0,It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded.,s435
0.0,Have a influence of how the US deals the global warming.,s436
1.0,because its just like a magazine to useful to me,s437
0.0,"It matters, because I am alive and living on this planet. Unless more law suits are brought against big corporations that put profits instead of the environment, the destruction of our planet will continue.",s439
1.0,I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw.,s442
0.0,This article matters to me because climate change has bad effects on human,s444
1.0,dance well is good for health,s445
0.0,I live in the Midwest and I don't have flood insurance.,s446
1.0,It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation.,s448
1.0,"I am more aware of my health, so this article is important to me personally.",s449
0.0,I worry about my own higher-protein diet.,s450
1.0,daily using things so this article matters to people,s453
1.0,Skier wants to save snow and scientists win money.,s454
1.0,Because i am one of the natural lover,s456
1.0,I am currently pregnant and this information could help my future child.,s457
1.0,This is about a book that promotes healthy eating for children.,s460
1.0,Some scientific findings on obesity.,s462
1.0,this would encourage people to take care of their body regularly,s463
1.0,It matters to people I know because they are keeping people healthy and saving money.,s466
1.0,Korea is improve by the American fast food.,s467
1.0,About whether cooking tomato and spinach cause the nutrients to change.,s470
0.0,I've often wondered if everything I put in the recycle bin gets recycled or if I'm just causing more work and more trash.,s471
1.0,it's about a Swedish girl solitry act,s473
1.0,Climate change will effect not only us but for generations to come. We really need to clean things up,s475
1.0,This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program.,s478
0.0,basically telling how you can be recycling wrong,s479
0.0,Because I have considered taking these supplements but they might kill me.,s481
0.0,"This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense.",s482
1.0,"After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!",s483
0.0,Foods to avoid to prevent kidney stones,s485
1.0,Article is about environmental and nuclear power,s487
0.0,its about being vegan and have food restrictions because of gout,s488
1.0,The effect of antioxidants on after exercise soreness.,s490
0.0,It's important to encourage children to exercise because habits learned in childhood are carried into adulthood.  It often is hard to make big changes later in life.  One of my best friends was never encouraged to exercise and has struggled since adulthood with obesity and sticking to a workout routine.,s492
1.0,Exercise can keep you healthy and young,s493
0.0,"The global warming is changing the climate, for some country's are very effective to the incident",s494
1.0,"This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able",s495
0.0,not so good about this article,s496
1.0,This article is about a proposed incentive to buy electric or hybrid cars.,s497
1.0,"A lot of my friends have different places in ancient Rome and Greece on their ""bucket list"" of places to travel before they die.  Because they've assumed these places will aways be there, they haven't prioritized travel yet -- but I'm sure they would be quite sad if they never get to see the things they read about Western Civ.",s498
0.0,so much of oil content in that deli meats so I think it is bad for health,s499
1.0,This article is about the children's menu and healthy eating suggestions for children.,s502
1.0,"This article matters to me personally because I believe climate change is a very serious issues that the world needs to take more seriously. It's going to impact our world in ways that the future, our children, will have to deal with.",s504
1.0,This article discusses how cooking will affect nutrients levels in tomatoes and spinach.,s505
1.0,This talks about why people who don't know much about GMOs are against them.,s506
1.0,using good bacteria to aid in weight loss.,s507
1.0,How to move away from using platics,s512
1.0,I have friends and family members who struggle with their weight and this may be helpful information for them,s513
1.0,This is impportant as we all have to clean our homes!,s514
0.0,Arctic National Wildlife Refuge is an helpful development to the oil and gas exploration.,s515
1.0,This article about weather condition prediction,s516
1.0,The Article is about wind turbine,s517
0.0,Article is about an increase in the risk of staph skin infection in people who took statins.,s520
0.0,My friend Dave has had trouble with Kidney stones in the past. I would pass this on to him.,s522
1.0,This is so true! I sleep with my dog too.,s526
1.0,Pharoahs tried to increase grain production but failed,s527
1.0,This article says that we eat more when we exercise.,s529
0.0,meat is not a safe food for humans,s530
0.0,Climate change is at it again!,s531
1.0,I think it is important for us to take care of the environment and I have children and grand chidren that i am concerned about with climate change.,s532
1.0,Some who are recycling might be making things harder for recycling companies if they do not know how to recycle certain items correctly.,s533
0.0,This article is about the potentiality fatal nature of sleep apnea and its tie to obesity.,s535
1.0,This article is hinting towards personalities or how you do things are affected by what you are around.,s537
1.0,"The importance of heritage sites is hard to overestimate. Climate change threatens many sites around the world, and so much of our civilization began around the Mediterranean. To lose those would be an irreplaceable loss.",s538
1.0,"This article has to do with how exercise helps not only children, but our nations economy.",s540
1.0,It talks about whether or not cooking helps bring out the nutrients in tomatoes and spinach.,s541
1.0,The benefits for kids and pregnant women to eat more fish.,s543
0.0,It is about Sleep apnea,s544
1.0,"If it isn't offered, less people will drink it and there will be a healthier society.",s545
1.0,A workout to help you get healthy,s546
0.0,This article is about algae blooms killing wildlife.,s547
1.0,People must knows the ancient places.,s548
1.0,we need to prevent illness with a good shape and healthy eat,s551
0.0,This is about people still building homes in areas which are known to flood,s552
1.0,It’s not all about activity!  There’s other things at play that could help us!,s553
1.0,Because it discuss the information regarding babies.So it is necessary to know by the people around us,s554
1.0,we should know about  ancient egyptian leaders,s555
1.0,How to get your kids to eat,s558
1.0,it is about solar power,s559
0.0,Deli meats are heavily processed and shoud not be eaten.,s561
0.0,If people are not buying flood insurance that means it will cost all of us more in taxes to help pay when disaster strikes flood regions.,s563
0.0,I know a lot of people that live in Florida that could be affected by rising sea levels.,s567
1.0,Its about the concern and remedy for skin infections and its risk.,s568
0.0,This matters to people like me because I do not want to die from drinking sugary drinks.,s570
1.0,Creating your own company to try and cure your own disease is quite an impressive way to go about such a situation. I hope he has success and his efforts may go on to help others dealing with this awful form of cancer.,s571
1.0,This is an attempt at a climate change plan from Senator Chuck Schumer introducing a $450 billion proposal. The proposals purpose would be to give consumers a voucher allowing them to buy American made trucks and cars that are hybrid. This would be done to help people buy electric cars   while impacting climate change in a positive way.,s572
1.0,The article is about learning to battle fires that could break out anywhere in the USA.,s574
1.0,This would help my husband who has high cholesterol.,s575
1.0,It seems that education about GMOs leads to less opposition. Those uneducated about them are generally more opposed.,s576
1.0,Being healthy as I get older gets more and more important.,s577
1.0,This article discusses the benefits of exercise for children and why it can help save the United States billions of dollars per year.,s578
1.0,This article is about American Car Emissions Rules,s581
1.0,"Everyone in my family sleeps with a dog in their bed, so this is good to know!",s582
1.0,i am so glad it `s finally happened and the better move towards concern about global warming.,s583
0.0,You might make mistakes accidentally more if you are losing your hearing.,s584
1.0,"If anyone has a sweet tooth, it's me.",s587
1.0,This article is about helping obese people with probiotics.,s588
0.0,"My kids joined in on this propaganda and it was interesting to me that once you got past the highlighted points they wanted to make, they did not want any actual discussion, just a reason to have another skip day.",s589
1.0,Imagine a good idea coming from public school systems.,s592
1.0,Many people in lack of knowledge about obesity. This news may help them.,s593
1.0,The article is about fuel efficiency rule for automobiles mainly for the oil industries.,s594
1.0,I have really learned what to do to avoid kidney stones problem. This is interesting to know.,s595
1.0,This article is about how a before-school exercise program may help children feel happier and mor3e energetic.,s598
1.0,among the most consequential provisions is the permanent reauthorization of the land and water conversation.,s599
1.0,I am trying to lose weight,s600
1.0,"this article matters to people I know because everyone wants to be healthy, and nutrition science can be so hard to follow.",s602
1.0,The above article is about the walking of persons.,s606
1.0,technology to combat climate change will be beneficial for my life in the long term,s608
1.0,It helps to recover from the disease multiple myeloma and it does matter for people who are suffering from cancer.,s610
0.0,Different vegan foods that can lead to gout.,s613
1.0,about consuming less power,s615
0.0,Then the world is learn to live with fire.,s616
1.0,Oceanographer is interviewed and auto makers are asked about climate change.,s618
0.0,Obesity Paradox risk,s619
0.0,Too much interference by lobbyists in our government.,s620
0.0,Many people are forgoing flood insurance in uncertain times.,s621
1.0,cause it is quite informative,s622
0.0,This article is about Arctic wildlife refuge to oil and gas exploration,s623
0.0,I would be very sad if soemone close to me died because of this.,s624
1.0,It is an article which explains the causes of Gluten free diet.,s626
1.0,Because climate change is important,s627
0.0,This article is about  climate change.,s628
0.0,My mother was a cancer patient.,s629
1.0,"The above article is about to decrease the possibilities of heart attack by following diet, smoking cessation, stress management and excercise",s630
0.0,New study suggesting that biking is bad for your bones.,s631
1.0,How well people and dogs sleep in a room together.,s634
0.0,It is about deli meats causing cancer.,s635
1.0,Unless you're intolerant to gluten there is absolutely no reason to go gluten free.,s636
0.0,About Sports Event Which may shows some other results which is not expected.,s638
0.0,Companies will see profits drop within the next five years due to climate change.,s639
1.0,I think this article is about the status of the solar power system...,s640
1.0,"I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",s001
1.0,good to protect environment just by recycling,s002
1.0,Could help with weight gain which would help a lot of people.,s003
0.0,"It seems like diet pills, no matter how they're marketed, are kind of risky.",s004
0.0,"Heart risks and high levels can possibly lead Parkinson's disease, scary stuff.",s005
1.0,A before school program that will get kids exercising,s008
0.0,Political process for energy exploration efforts in ecologically sensitive area,s009
1.0,it can tell them if lab-grown meat is harmful or not,s010
1.0,This article matters to people I know because they care about the welfare of endangered species.,s012
0.0,I'm concerned about environmental impact on the economy.,s014
1.0,This will help you understand which foods are more healthful cooked.  and which are better eaten uncooked.,s015
1.0,Working towards making your children energetic and happy?Why don't you try the BOKS program?,s017
0.0,This matters because people have to deal with heat and it may result in black outs or cause their area to participate in rolling blackouts to preserve the electrical system.,s018
0.0,It's worrisome news. It shows that climate change is not a distant thing. It is already happening.,s019
1.0,I may at some point in my life try to lower cholesterol by taking satins.,s020
1.0,This article matters to me because I believe recycling is very important for the environment.,s021
1.0,"A few people I know are now buying new homes, and I live near the Mississippi River.",s024
0.0,This article describes the mindset of people who are opposed to genetically modified foods and their knowledge specific to genetically modified foods.,s025
1.0,This article about immune system,s028
0.0,Some of the heritage and historic places are getting destroyed due to the global warming and those list are getting higher day by day.,s030
1.0,Vitamin C & E are good to health,s031
1.0,This article expresses the need to speed up efforts and fight to stop climate change.,s032
1.0,Climate change is an important issue for every human.,s036
0.0,about the tattoo on skin impact,s037
1.0,The choice between natural food and chemically made beverages for energy.,s038
1.0,It is related to challenging race.,s040
1.0,Because I am a woman and sharing this article with my female friends and family is one form of showing them that I care about their wellbeing.,s041
0.0,the other deliberate  a blackout meant to prevent them. Schools and businesses closed and thousands of people evacuated their homes.,s042
1.0,Engaging in bodily movements is healthy for both the body and the mind.,s043
1.0,Vouchers for people making american made electric and hybrid vehicles,s045
0.0,the plastic will not decompose in the land so easily so it cause the environment bad effects and affects every human personally,s046
1.0,A new form of weight training that requires short time to build strength.,s048
